column_list,num_features,model_name,best_params,resampling_indicator,clustering_indicator,train_matthews_corrcoef,val_matthews_corrcoef,train_f2_score,val_f2_score,train_val_matthews_corrcoef,test_matthews_corrcoef,train_val_f2_score,test_f2_score
['Sensor112'],1,LogisticRegression,"{'C': 0.7685488625357499, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 1.6935848910277846, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 0.5662668618820355, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 1.3430986745662417, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 1.9250488076113663, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
['Sensor112'],1,LogisticRegression,"{'C': 0.317482156166907, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,no,0.322663826240075,0.3229412213339201,0.6592505869624595,0.6591709462291697,0.322647358072483,0.07984330183541945,0.6592559560395332,0.4880033759344104
"['Sensor424', 1, 2]",1,LogisticRegression,"{'C': 0.7591896622524241, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",no,yes,0.15444864888950127,0.15056731224543268,0.5356033424903591,0.5326344157553284,0.1402438543066093,-0.07067528672325613,0.5230696798493408,0.4217464187747638
"['Sensor424', 1, 2]",1,LogisticRegression,"{'C': 1.4721935786069233, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",no,yes,0.15780457521822774,0.15970915144790723,0.5342102690322392,0.5317435878922938,0.13600255659336252,-0.07382935251711846,0.5178496201681227,0.41763707745541645
"['Sensor424', 1, 2]",1,LogisticRegression,"{'C': 1.386893326967793, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",no,yes,0.15786287198031074,0.15972648137776485,0.5342346608679917,0.5316693938331511,0.13600255659336252,-0.07382935251711846,0.5178496201681227,0.41763707745541645
"['Sensor424', 1, 2]",1,LogisticRegression,"{'C': 0.08981253033094849, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",no,yes,0.13686138709927848,0.13101579582645712,0.5473558142083423,0.5435784446144363,0.138290159743725,-0.039651083498385746,0.5527378822529732,0.4591836734693878
['Sensor424'],1,LogisticRegression,"{'C': 1.7576348539003697, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",no,no,0.14352924806233272,0.14900193959990932,0.5172383188231644,0.5188408731987648,0.13083477222267384,-0.07849329291453078,0.5113927291346646,0.41148243914696325
['Sensor424'],1,LogisticRegression,"{'C': 1.7035176871846711, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000000, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",no,no,0.14304136230530382,0.14900193959990932,0.5165948096252679,0.5188408731987648,0.13083477222267384,-0.07849329291453078,0.5113927291346646,0.41148243914696325
"['Sensor112', 1, 2]",1,DecisionTreeClassifier,"{'ccp_alpha': 0.004077849860982391, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': 42, 'splitter': 'best'}",yes,yes,0.4292240774682411,0.35407146145738805,0.7108169154856208,0.6725659396907882,0.41694494688952133,-0.022278622773831504,0.7084071042077908,0.41903083700440535
